text,label,label_desc,translation,MetricX24_Raw,MetricX24_Scaled_BATAYAN
i remember driving home and arriving home feeling very mournful,0,sadness,Naalala ko ang pagmamaneho pauwi at pagdating sa bahay na puno ng kalungkutan.,0.8750261664390564,96.49989533424377
i currently am feeling rotten with some sort of illness not exactly what i had hoped for in my small amount of time back home but hey ho,0,sadness,"Nararamdaman ko ngayon ang pagkasira ng aking kalusugan dahil sa sakit, hindi talaga ito ang inaasahan ko sa aking maikling pag-uwi, pero sige na nga.",0.8762544989585876,96.49498200416565
im feeling quite disillusioned about my weighins,0,sadness,Napakadidismaya ko sa aking mga pagtimbang.,0.865050196647644,96.53979921340942
i feel that this kind of website would be amazing for learning purposes in which it already does provide the viewer with knowledge regarding the history of paris,1,joy,Nararamdaman kong kahanga-hanga ang ganitong uri ng website para sa pag-aaral dahil nagbibigay na ito ng kaalaman tungkol sa kasaysayan ng Paris sa mga manonood nito.,0.8420218229293823,96.63191270828247
i dont know why i feel so unsure aout things and especially people,4,fear,Hindi ko alam kung bakit ako sobrang hindi sigurado sa mga bagay at lalo na sa mga tao.,0.8890304565429688,96.44387817382812
i know it signifies him feeling not dangerous secure and relaxed so i don t guess it is causing him any undue stress,3,anger,Alam kong ito ay nagpapahiwatig na nararamdaman niya ang hindi mapanganib na seguridad at pagpapahinga kaya hindi ko akalaing ito ay nagdudulot sa kanya ng anumang labis na stress.,0.8743482828140259,96.5026068687439
i not feel like going shopping afterward i was groggy and felt like a stuffed pig,0,sadness,"Hindi ako nais magpunta sa tindahan pagkatapos, pagod at parang puno ng pagkain ako.",0.8847598433494568,96.46096062660217
i always feel slightly embarrassed,0,sadness,Lagi akong nakakaramdam ng kaunting hiya.,0.8409493565559387,96.63620257377625
i feel a longing for i have no idea what if it was ever even there,2,love,"Nararamdaman kong may pagnanasa ako, hindi ko alam kung ano iyon kung sakaling ito ay umiiral man noon.",0.9066444635391235,96.3734221458435
i still feel defeated,0,sadness,Parang natatalo pa rin ako.,0.8654822111129761,96.5380711555481
i feel a remembrance of the strange by justin aryiku falls into the latter category,4,fear,"Nararamdaman kong ang ""A Remembrance of the Strange"" ni Justin Aryiku ay kabilang sa huli.",0.8902809619903564,96.43887615203857
i start an aimless internet search when im feeling curious,4,fear,Nagsisimula akong mag-browse nang walang direksyon sa internet kapag nararamdaman kong mausisa.,0.8725057244300842,96.50997710227966
i thought that was the end of it but a few minutes ago i got off the couch and felt so hot and sore and soft yknow when you have a fever how your body just feels really tender,2,love,"Akala ko natapos na iyon pero ilang minuto lang ang nakalipas, tumayo ako mula sa sopa at naramdaman kong sobrang init at pananakit, parang malambot din. Alam mo 'yon, kapag may lagnat, parang ang katawan mo ay sobrang sensitibo.",0.9169459939002991,96.3322160243988
