text,label,label_desc,translation,MetricX24_Raw,MetricX24_Scaled_BATAYAN
i feel that i am so stressed out at work what i do is i escape,0,sadness,Nararamdaman kong sobrang stressed ako sa trabaho kaya iniisip kong maghanap ng paraan para makalayo.,-0.34249091148376465,100.0
i remember feeling so disappointed and discouraged when i realized after my first two that the baby belly on some women i,0,sadness,Naalala ko ang pagkadismaya at pagkabigo ko nang mapagtanto ko pagkatapos ng aking unang dalawa na ang baby belly sa ilang babae ay...,-0.3049362301826477,100.0
i feel so inlove whenever i watch the film i love steve sean faris julie s love interest i adore their friendship plus i was so thrilled about the whole sleepover scavenger hunt thing but other than that i absolutely love the part where julie talks to her mom,1,joy,"Nararamdaman kong sobrang inlove kapag nanonood ako ng pelikula, lalo na kay Steve Sean Faris, ang crush ni Julie. Gustung-gusto ko ang kanilang pagkakaibigan at sobrang saya ko sa buong sleepover scavenger hunt na parte. Pero higit sa lahat, sobrang mahal ko ang eksena kung saan nag-uusap si Julie sa kanyang ina.",-0.28406769037246704,100.0
i write these words i feel sweet baby kicks from within and my memory is refreshed i would do anything for this boy,2,love,"Sumusulat ako ng mga salitang ito, nararamdaman ko ang matamis na pagkiskis ng sanggol mula sa loob, at napapaligiran ako ng mga alaala. Gagawin ko ang lahat para sa batang ito.",-0.309101402759552,100.0
i need to feel personally valued,1,joy,Kailangan kong maramdaman na ako ay personal na pinahahalagahan.,-0.2666590213775635,100.0
ive been feeling more emotional now perhaps because the physical ailments are subsiding,0,sadness,Mas emosyonal ako ngayon marahil dahil unti-unting nawawala ang mga pisikal na karamdaman.,-0.2714363932609558,100.0
i feel neglectful and while at her reception i grazed her arm as i walked by and she pulled me back and said where are you going youre way more imporant than those people but i was stoned and full of champagne and could only tell her she was beautiful and that he seemed nice,0,sadness,"Nararamdaman kong nagpapabaya ako at habang nasa kanyang reception, nabangga ko ang kanyang braso habang dumadaan at hinila niya ako pabalik at sinabi, ""Nasaan ka pupunta? Mas mahalaga ka kaysa sa mga tao iyon,"" ngunit ako'y lasing at puno ng champagne kaya ang nasabi ko lamang ay maganda siya at ang kasama niya ay mukhang mabait.",-0.28981003165245056,100.0
im feeling all sentimental too and i cannot wait to be up in vermont for christmas with the whole ryan family,0,sadness,Nadarama ko rin ang sentimiyentuhan at hindi ko mapigilang maghintay na makasama ang buong pamilya ni Ryan sa Vermont ngayong Pasko.,-0.2715833783149719,100.0
i havent been feeling incredibly passionate about medicine recently in fact i havent been feeling particularly passionate about anything,2,love,"Hindi ko nararamdaman ang malaking pagmamahal sa medisina kamakailan, sa katunayan, hindi ko nararamdaman ang malaking pagmamahal sa kahit anong bagay.",-0.29059526324272156,100.0
i guess i should feel appreciative of that,1,joy,Siguro dapat akong magpasalamat doon.,-0.31262266635894775,100.0
i felt a lot of guilt for not trying harder and finding other solutions to continue breastfeeding much farther past months but as time goes on i feel content knowing i did the best i could with what resources and support i had at the time,1,joy,"Nadama ko ang malaking pagsisisi dahil hindi ako masigasig at hindi nakahanap ng ibang solusyon upang magpatuloy sa pagpapasuso nang mas matagal pa sa mga buwan ngunit habang tumatagal, nakakaramdam ako ng kasiyahan sa pag-alam na ginawa ko ang aking makakaya gamit ang mga mapagkukunan at suporta na meron ako noon.",-0.3181304931640625,100.0
i feel a bit smug too as well as annoyed,1,joy,Nararamdaman ko rin ang kaunting pagmamalaki at pagkainis.,-0.21922628581523895,100.0
im excited for these new changes cause i really feel like it will help me feel like myself again in this funny blogging world,4,fear,Masaya ako sa mga bagong pagbabago dahil talagang nararamdaman kong makakatulong ito para maibalik ang aking tunay na sarili sa kakaibang mundo ng pag-blog.,-0.32335129380226135,100.0
i feel like i will be successful,1,joy,Nararamdaman kong magtatagumpay ako.,-0.22511222958564758,100.0
i feel i was wronged,3,anger,Nararamdaman kong mali ang ginawa sa akin.,-0.2922168970108032,100.0
i feel that she doesnt think i appreciate what she did for me and i couldnt be more appreciative,1,joy,"Nararamdaman kong hindi niya iniisip na pinahahalagahan ko ang ginawa niya para sa akin, at hindi ko mas mapapahalagahan pa iyon.",-0.2880762219429016,100.0
i get the feeling that if the tabloids either ignored her or somehow painted her as a hero or comedic genius shed be totally happy even if the women in the house were upset,0,sadness,"Nararamdaman kong kung iiwasan siya ng mga tabloids o kung paano siya ipininta bilang isang bayani o isang komikal na henyo, siya ay lubos na masaya kahit na ang mga babae sa bahay ay magagalit.",-0.2956298887729645,100.0
