text,label,label_desc,translation,MetricX24_Raw,MetricX24_Scaled_BATAYAN
i always feel pressured to make it perfect fit for for all audiences and gorgeous in creativity,4,fear,Lagi akong nakakaramdam ng presyur na gawing perpekto ito para sa lahat ng madla at maganda sa pagkamalikhain.,1.4652152061462402,94.13913917541504
i feel helpless,4,fear,Nararamdaman kong walang magawa.,1.4359321594238281,94.25627136230469
i really have nothing to talk about i m just feeling so damn antsy and needy and lonely,0,sadness,"Talagang wala akong maisasabi, sobrang kinakabahan at nangangailangan ako, at malungkot.",1.4783499240875244,94.0866003036499
i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,0,sadness,"Nararamdaman ko minsan na masyadong nakakabagot ang aking mga aralin para i-post dito, pero may isang mahal kong kaibigan na si Rach na bagong guro sa Linggo'y Paaralan at gustong makita ang aking mga ginagawa kaya ipagpapatuloy ko pa rin ang pagpo-post ng aking mga aralin dito.",1.4934887886047363,94.02604484558105
im feeling as if im not caring and i dont want to fail my finals,2,love,Nararamdaman kong parang hindi na ako nagmamalasakit at ayaw kong mabigo sa aking mga finals.,1.4423823356628418,94.23047065734863
i feel you are so delicate now,2,love,Nararamdaman kong napaka-delikado mo ngayon.,1.4347891807556152,94.26084327697754
i know i probably shouldnt write with that sort of angry passion here on the blog but i never want to feel inhibited on what i can and cannot post,4,fear,"Alam kong hindi dapat ako magsulat ng ganitong uri ng galit na damdamin dito sa blog, pero ayaw kong makaramdam ng pagkukulang sa mga maaaring i-post ko.",1.4843686819076538,94.06252527236938
i feel like i am the only one trying to accomplish everything especially the balance in our extremely distressed world,4,fear,"Nararamdaman kong ako lamang ang nagsisikap na makamit ang lahat, lalo na ang balanse sa ating lubhang naghihirap na mundo.",1.4592562913894653,94.16297483444214
i started to feel discouraged,0,sadness,Nagsimulang akong mawalan ng pag-asa.,1.4039430618286133,94.38422775268555
i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,1,joy,"Kapag iniisip ko ang kinabukasan ng subkontinente, nararamdaman kong positibo kahit lahat ng nababasa ko sa mga pahayagan.",1.5082004070281982,93.9671983718872
i feel really free i feel that i can grow wings amp fly,1,joy,"Nararamdaman kong tunay na malaya, parang kaya kong lumaki ng pakpak at lumipad.",1.4851266145706177,94.05949354171753
i start to feel happy and then i think of how lonely my cat feels,1,joy,Nagsisimula akong makaramdam ng saya ngunit naaalala ko kung gaano kalungkot ang pusa ko.,1.4517500400543213,94.19299983978271
i feel scared to use headphones,4,fear,Natatakot akong gumamit ng headphone.,1.4398237466812134,94.24070501327515
