text,label,label_desc,translation
i feel that i am so stressed out at work what i do is i escape,0,sadness,Nararamdaman kong sobrang stressed ako sa trabaho kaya iniisip kong maghanap ng paraan para makalayo.
i remember feeling so disappointed and discouraged when i realized after my first two that the baby belly on some women i,0,sadness,Naalala ko ang pagkadismaya at pagkabigo ko nang mapagtanto ko pagkatapos ng aking unang dalawa na ang baby belly sa ilang babae ay...
i feel so inlove whenever i watch the film i love steve sean faris julie s love interest i adore their friendship plus i was so thrilled about the whole sleepover scavenger hunt thing but other than that i absolutely love the part where julie talks to her mom,1,joy,"Nararamdaman kong sobrang inlove kapag nanonood ako ng pelikula, lalo na kay Steve Sean Faris, ang crush ni Julie. Gustung-gusto ko ang kanilang pagkakaibigan at sobrang saya ko sa buong sleepover scavenger hunt na parte. Pero higit sa lahat, sobrang mahal ko ang eksena kung saan nag-uusap si Julie sa kanyang ina."
i write these words i feel sweet baby kicks from within and my memory is refreshed i would do anything for this boy,2,love,"Sumusulat ako ng mga salitang ito, nararamdaman ko ang matamis na pagkiskis ng sanggol mula sa loob, at napapaligiran ako ng mga alaala. Gagawin ko ang lahat para sa batang ito."
i need to feel personally valued,1,joy,Kailangan kong maramdaman na ako ay personal na pinahahalagahan.
ive been feeling more emotional now perhaps because the physical ailments are subsiding,0,sadness,Mas emosyonal ako ngayon marahil dahil unti-unting nawawala ang mga pisikal na karamdaman.
i feel neglectful and while at her reception i grazed her arm as i walked by and she pulled me back and said where are you going youre way more imporant than those people but i was stoned and full of champagne and could only tell her she was beautiful and that he seemed nice,0,sadness,"Nararamdaman kong nagpapabaya ako at habang nasa kanyang reception, nabangga ko ang kanyang braso habang dumadaan at hinila niya ako pabalik at sinabi, ""Nasaan ka pupunta? Mas mahalaga ka kaysa sa mga tao iyon,"" ngunit ako'y lasing at puno ng champagne kaya ang nasabi ko lamang ay maganda siya at ang kasama niya ay mukhang mabait."
im feeling all sentimental too and i cannot wait to be up in vermont for christmas with the whole ryan family,0,sadness,Nadarama ko rin ang sentimiyentuhan at hindi ko mapigilang maghintay na makasama ang buong pamilya ni Ryan sa Vermont ngayong Pasko.
i havent been feeling incredibly passionate about medicine recently in fact i havent been feeling particularly passionate about anything,2,love,"Hindi ko nararamdaman ang malaking pagmamahal sa medisina kamakailan, sa katunayan, hindi ko nararamdaman ang malaking pagmamahal sa kahit anong bagay."
i guess i should feel appreciative of that,1,joy,Siguro dapat akong magpasalamat doon.
i felt a lot of guilt for not trying harder and finding other solutions to continue breastfeeding much farther past months but as time goes on i feel content knowing i did the best i could with what resources and support i had at the time,1,joy,"Nadama ko ang malaking pagsisisi dahil hindi ako masigasig at hindi nakahanap ng ibang solusyon upang magpatuloy sa pagpapasuso nang mas matagal pa sa mga buwan ngunit habang tumatagal, nakakaramdam ako ng kasiyahan sa pag-alam na ginawa ko ang aking makakaya gamit ang mga mapagkukunan at suporta na meron ako noon."
i feel a bit smug too as well as annoyed,1,joy,Nararamdaman ko rin ang kaunting pagmamalaki at pagkainis.
im excited for these new changes cause i really feel like it will help me feel like myself again in this funny blogging world,4,fear,Masaya ako sa mga bagong pagbabago dahil talagang nararamdaman kong makakatulong ito para maibalik ang aking tunay na sarili sa kakaibang mundo ng pag-blog.
i feel like i will be successful,1,joy,Nararamdaman kong magtatagumpay ako.
i feel i was wronged,3,anger,Nararamdaman kong mali ang ginawa sa akin.
i feel that she doesnt think i appreciate what she did for me and i couldnt be more appreciative,1,joy,"Nararamdaman kong hindi niya iniisip na pinahahalagahan ko ang ginawa niya para sa akin, at hindi ko mas mapapahalagahan pa iyon."
i get the feeling that if the tabloids either ignored her or somehow painted her as a hero or comedic genius shed be totally happy even if the women in the house were upset,0,sadness,"Nararamdaman kong kung iiwasan siya ng mga tabloids o kung paano siya ipininta bilang isang bayani o isang komikal na henyo, siya ay lubos na masaya kahit na ang mga babae sa bahay ay magagalit."
i have read and personal stories that have been shared with me so i feel that it is totally ok to share,1,joy,Nabasa ko at narinig ang mga personal na kwento na ibinahagi sa akin kaya nararamdaman kong ganap na tama na ibahagi rin ito.
i continue without alva and noe but tell her that ill be out on the course as long as she is and after awhile i try running and even that feels ok,1,joy,"Nagpapatuloy ako nang walang Alva at Noe, pero sinabi ko sa kanya na magiging nasa labanan ako hangga't siya ay nasa labanan din, at pagkatapos ng ilang panahon, sinubukan kong tumakbo at kahit iyon ay parang maayos na."
i was feeling extremely agitated after coming home from china,4,fear,Napakainit ng aking damdamin nang umuwi ako mula sa Tsina.
i was thinking about going out to dinner but im feeling like i might not be bothered too,3,anger,Iniisip kong lumabas para kumain pero parang ayaw ko nang mag-abala.
i feel honoured that my art is in someone s home and is being enjoyed on a daily basis,1,joy,Nararamdaman kong iginagalang na ang aking sining ay nasa tahanan ng isang tao at tinatamasa araw-araw.
i feel like i am carrying him suuuper low too,0,sadness,Parang napakalalim kong dinadala siya.
i wonder how is it feel to be really smart,1,joy,Napapatanong ako kung ano ang pakiramdam na maging tunay na matalino.
i feel i punished her for caring for me,0,sadness,Nararamdaman kong pinarusahan ko siya dahil sa pag-aalaga niya sa akin.
i feel beaten up and tired mentally and physically,0,sadness,"Nararamdaman kong pagod at nababagsak, kapwa sa isip at katawan."
i pulled out and explained that i couldn t feel my penis or at least feel it with any more feeling than my aching back or throbbing balls or stinging nipples,0,sadness,"Inalis ko at ipinaliwanag na hindi ko nararamdaman ang aking ari o kahit papaano nararamdaman ito nang higit pa sa aking masakit na likod, tumitibok na mga balat, o sumasakit na mga suso."
i have been gathering them up when i feel brave enough and pressing them at home under books,1,joy,Pinagtitipon ko sila kapag nararamdaman kong sapat na ang aking tapang at pinipiga sa bahay sa ilalim ng mga libro.
i feel sure the donation would have been rejected,1,joy,Sigurado akong tatanggihan ang donasyon.
i was feeling depressed about our infertility and had received a slew of pregnancy announcements that week,0,sadness,Malungkot ako dahil sa aming kawalan ng anak at nakakatanggap ako ng maraming balita tungkol sa pagbubuntis noong linggong iyon.
i found myself agreeing with a lot of her thoughts about how pregnant women are wrong in feeling superior to others about how each man basically just wants a woman who lets him do anything he wants,1,joy,Natagpuan ko ang aking sarili na sumasang-ayon sa maraming kaisipan niya tungkol sa kung paano mali ang pakiramdam ng mga buntis na mas mataas sila sa iba tungkol sa kung paano ang bawat lalaki ay gustong-gusto lamang ang isang babae na nagpapahintulot sa kanya na gawin ang anumang gusto niya.
i feels shocked looking at the elder fitch twin,4,fear,Nabigla ako nang makita ang mas matandang kambal na Fitch.
when my mother was tremendous on the phone and we talked for hours she was in a good mood,1,joy,"Nang malakas ang boses ng aking ina sa telepono at nag-usap kami nang matagal, masaya siya."
i feel so dumb when at first run through it all seems over my head amp a little too much for my struggling brain,0,sadness,"Nararamdaman kong tanga kapag sa unang pagbasa, parang lahat ay nasa itaas ng aking kakayahan at medyo sobra para sa aking nahihirapan na utak."
i was okay with it but still little have feeling for that my brother was more amazed he like mihm but he wasn t going to get playing time,4,fear,"Ayos lang ako doon pero may kaunting nararamdaman na ang kapatid ko ay mas nabighani, gusto niya ako pero hindi siya magkakaroon ng oras sa laro."
i saw kyuhyun in the crowd today while i was strolling through apgujeong with hyunjin the woman breathed feeling every bit sceptical at her own words,4,fear,"Nakita ko si Kyuhyun sa karamihan kanina habang naglalakad ako sa Apgujeong kasama si Hyunjin, huminga ang babae, parang hindi makapaniwala sa kanyang mga sinasabi."
i just have to be sure i still remember to keep feeling excited and enjoying what i am already doing along the way,1,joy,Kailangan ko lang siguraduhin na hindi ko nakakalimutan ang pakiramdam ng kilig at ang pag-eenjoy sa mga ginagawa ko habang naglalakbay.
i feel virtuous because all day i have cleaned a house that needed the mopping and tidying,1,joy,Nararamdaman kong mabuti dahil buong araw akong naglinis ng bahay na nangangailangan ng pagwawalis at paglilinis.
i started to feel rotten sore stomach sickness and needing to go the toilet,0,sadness,"Nagsimula akong magkasakit, may sakit na tiyan, at kailangan kong pumunta sa banyo."
i try to find something that does not make me feel foolish,0,sadness,Sinusubukan kong hanapin ang isang bagay na hindi ako pinaparamdam na bobo.
i dont mean to boast but i feel rather impressed by my message,4,fear,"Hindi ko ibig magmalaki, pero medyo nabighani ako sa aking mensahe."
im not the only person in the world to feel miserable from time to time,0,sadness,Hindi ako ang tanging tao sa mundo na nakakaranas ng pagkabalisa minsan-minsan.
i dont want to approach this topic too lightly but at the same time i feel apprehensive putting it all out there,4,fear,"Ayaw kong lapitan ang paksa nang masyadong basta-basta ngunit sa kabilang banda, kinakabahan akong ilabas ang lahat."
i would feel terrified for them and enjoy this movie a little better,4,fear,Matatakot ako para sa kanila at mas magugustuhan ko ang pelikula.
i always feel jealous,3,anger,Lagi akong nakakaramdam ng inggit.
