text,label,label_desc,translation
i always feel pressured to make it perfect fit for for all audiences and gorgeous in creativity,4,fear,Lagi akong nakakaramdam ng presyur na gawing perpekto ito para sa lahat ng madla at maganda sa pagkamalikhain.
i feel helpless,4,fear,Nararamdaman kong walang magawa.
i really have nothing to talk about i m just feeling so damn antsy and needy and lonely,0,sadness,"Talagang wala akong maisasabi, sobrang kinakabahan at nangangailangan ako, at malungkot."
i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,0,sadness,"Nararamdaman ko minsan na masyadong nakakabagot ang aking mga aralin para i-post dito, pero may isang mahal kong kaibigan na si Rach na bagong guro sa Linggo'y Paaralan at gustong makita ang aking mga ginagawa kaya ipagpapatuloy ko pa rin ang pagpo-post ng aking mga aralin dito."
im feeling as if im not caring and i dont want to fail my finals,2,love,Nararamdaman kong parang hindi na ako nagmamalasakit at ayaw kong mabigo sa aking mga finals.
i feel you are so delicate now,2,love,Nararamdaman kong napaka-delikado mo ngayon.
i know i probably shouldnt write with that sort of angry passion here on the blog but i never want to feel inhibited on what i can and cannot post,4,fear,"Alam kong hindi dapat ako magsulat ng ganitong uri ng galit na damdamin dito sa blog, pero ayaw kong makaramdam ng pagkukulang sa mga maaaring i-post ko."
i feel like i am the only one trying to accomplish everything especially the balance in our extremely distressed world,4,fear,"Nararamdaman kong ako lamang ang nagsisikap na makamit ang lahat, lalo na ang balanse sa ating lubhang naghihirap na mundo."
i started to feel discouraged,0,sadness,Nagsimulang akong mawalan ng pag-asa.
i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,1,joy,"Kapag iniisip ko ang kinabukasan ng subkontinente, nararamdaman kong positibo kahit lahat ng nababasa ko sa mga pahayagan."
i feel really free i feel that i can grow wings amp fly,1,joy,"Nararamdaman kong tunay na malaya, parang kaya kong lumaki ng pakpak at lumipad."
i start to feel happy and then i think of how lonely my cat feels,1,joy,Nagsisimula akong makaramdam ng saya ngunit naaalala ko kung gaano kalungkot ang pusa ko.
i feel scared to use headphones,4,fear,Natatakot akong gumamit ng headphone.
i feel so useless in this,0,sadness,Nararamdaman kong lubos na walang silbi sa ganitong sitwasyon.
i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,3,anger,Nararamdaman kong maaaring mas mapanganib ito kaysa sumayaw sa gitna ng bagyo gamit ang payong.
i feel rather petty that i just dont have time to have someone talented like christine make it,3,anger,Nararamdaman kong medyo maliit ang aking pag-iisip dahil wala akong oras para magpagawa nito ng isang taong may talento tulad ni Christine.
i feel foolish and desperate almost for feeling so strongly about this,0,sadness,Nararamdaman kong hangal at nagugutom halos dahil sa sobrang lakas ng aking damdamin tungkol dito.
i feel more irritated than peaceful,3,anger,Mas nakakainis kaysa nakakapayapa ang nararamdaman ko.
i feel troubled lord and i honestly don t know why,0,sadness,"Nararamdaman kong nababahala, Panginoon, at totoo akong hindi alam kung bakit."
i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness,0,sadness,"Maaari akong basahin ang ilang pahina bago maramdaman ang pananakit ng ulo sa likod ng aking bungo at sa puntong iyon, pinagsisisihan ko na dinala ko ang kinatatakutang karamdaman ng pagsusuka sa sasakyan."
i do feel very successful right now,1,joy,Nararamdaman ko ngayon ang malaking tagumpay.
