text,label,label_desc
i feel that i am so stressed out at work what i do is i escape,0,sadness
i remember feeling so disappointed and discouraged when i realized after my first two that the baby belly on some women i,0,sadness
i feel so inlove whenever i watch the film i love steve sean faris julie s love interest i adore their friendship plus i was so thrilled about the whole sleepover scavenger hunt thing but other than that i absolutely love the part where julie talks to her mom,1,joy
i write these words i feel sweet baby kicks from within and my memory is refreshed i would do anything for this boy,2,love
i need to feel personally valued,1,joy
ive been feeling more emotional now perhaps because the physical ailments are subsiding,0,sadness
i feel neglectful and while at her reception i grazed her arm as i walked by and she pulled me back and said where are you going youre way more imporant than those people but i was stoned and full of champagne and could only tell her she was beautiful and that he seemed nice,0,sadness
im feeling all sentimental too and i cannot wait to be up in vermont for christmas with the whole ryan family,0,sadness
i havent been feeling incredibly passionate about medicine recently in fact i havent been feeling particularly passionate about anything,2,love
i guess i should feel appreciative of that,1,joy
i felt a lot of guilt for not trying harder and finding other solutions to continue breastfeeding much farther past months but as time goes on i feel content knowing i did the best i could with what resources and support i had at the time,1,joy
i feel a bit smug too as well as annoyed,1,joy
im excited for these new changes cause i really feel like it will help me feel like myself again in this funny blogging world,4,fear
i feel like i will be successful,1,joy
i feel i was wronged,3,anger
i feel that she doesnt think i appreciate what she did for me and i couldnt be more appreciative,1,joy
i get the feeling that if the tabloids either ignored her or somehow painted her as a hero or comedic genius shed be totally happy even if the women in the house were upset,0,sadness
i have read and personal stories that have been shared with me so i feel that it is totally ok to share,1,joy
i continue without alva and noe but tell her that ill be out on the course as long as she is and after awhile i try running and even that feels ok,1,joy
i was feeling extremely agitated after coming home from china,4,fear
i was thinking about going out to dinner but im feeling like i might not be bothered too,3,anger
i feel honoured that my art is in someone s home and is being enjoyed on a daily basis,1,joy
i feel like i am carrying him suuuper low too,0,sadness
i wonder how is it feel to be really smart,1,joy
i feel i punished her for caring for me,0,sadness
i feel beaten up and tired mentally and physically,0,sadness
i pulled out and explained that i couldn t feel my penis or at least feel it with any more feeling than my aching back or throbbing balls or stinging nipples,0,sadness
i have been gathering them up when i feel brave enough and pressing them at home under books,1,joy
i feel sure the donation would have been rejected,1,joy
i was feeling depressed about our infertility and had received a slew of pregnancy announcements that week,0,sadness
i found myself agreeing with a lot of her thoughts about how pregnant women are wrong in feeling superior to others about how each man basically just wants a woman who lets him do anything he wants,1,joy
i feels shocked looking at the elder fitch twin,4,fear
when my mother was tremendous on the phone and we talked for hours she was in a good mood,1,joy
i feel so dumb when at first run through it all seems over my head amp a little too much for my struggling brain,0,sadness
i was okay with it but still little have feeling for that my brother was more amazed he like mihm but he wasn t going to get playing time,4,fear
i saw kyuhyun in the crowd today while i was strolling through apgujeong with hyunjin the woman breathed feeling every bit sceptical at her own words,4,fear
i just have to be sure i still remember to keep feeling excited and enjoying what i am already doing along the way,1,joy
i feel virtuous because all day i have cleaned a house that needed the mopping and tidying,1,joy
i started to feel rotten sore stomach sickness and needing to go the toilet,0,sadness
i try to find something that does not make me feel foolish,0,sadness
i dont mean to boast but i feel rather impressed by my message,4,fear
im not the only person in the world to feel miserable from time to time,0,sadness
i dont want to approach this topic too lightly but at the same time i feel apprehensive putting it all out there,4,fear
i would feel terrified for them and enjoy this movie a little better,4,fear
i always feel jealous,3,anger
i am feeling quite impressed with myself because i went two directions across the top row and down the left column,4,fear
i have no word to describe the feeling reply she said its been days today that i have been in such a lovely country india i never thought that anything like this can ever happen to me where everyone treated us so gracefully humbly and with so respect,2,love
i feel like a monster because as we make our way through the rubble and stunned bodies all im thinking is that we need to find a way to keep going,4,fear
i know you contributed to my success but i am just feeling petty enough today to ignore those contributions,3,anger
i have been using deborah lippmann hard rock as a base for a couple weeks and it seems to prevent staining exceedingly well so i ws feeling brave enough to try this modified french tip two coats of a peachy pink jelly sation love at first byte then a random black with a dotting tool for spots,1,joy
i finish this note not wanting to sound sad i feel positive and happy iv written it down its gone from my head so i can stop dwelling and move on to making it happen,1,joy
i feel strangely carefree and free from all burden and it feels absolutely wonderful,1,joy
i think i might feel a little remorseful if i pursued either of those options right now so ive put them on the back burner in case i change my mind later,0,sadness
im nervous but feeling passionate,1,joy
i feel like this will be an amazing series and will be epic in the movie theater,1,joy
i feel less alone and more like i belong,0,sadness
i am so aware that if i indulge my wounded self in the first thoughts i will feel impatient and burdened and if i make sure that my loving adult is in charge thinking the second loving thoughts i will feel happy blessed and peaceful,3,anger
i feel somewhat disheartened i guess having to submit something lacklustre in just to meet the deadline,0,sadness
i express that same feeling im homophobic boring or in denial,0,sadness
i did not really want to die but i wanted out of the pain that i was experiencing and that i was allowing others to experience by watching me and feeling helpless to do anything about it,0,sadness
im feeling generous now the proposals to allow crop based biofuels to reduce our fossil fuel use by only and to withdraw the market for these biofuels altogether after mean that around m of investment in the uk biofuels industry could be in peril,1,joy
i feel this strange sense of importance of life and the world when i stare at the stars all night,4,fear
i don t feel so fearless,1,joy
i just feel she needs to come to me and lets get it all on the table and discussed hopefully resolved,1,joy
i feel so invigorated and refreshed afterwards,1,joy
i have unwashed hair but a new shirt and also the weather is the bomb but i also feel sleep deprived and havent had a diet coke and its am,0,sadness
i was so excited to try it considering i havent before and so many people rave about it but i didnt feel like it did anything special for my lashes i dont really like drier formula type mascaras but i prefer the wet formula ones more,1,joy
i feel like this service is at its core relatively useless,0,sadness
i do feel has conditions it hurts deeply and it is not pleasant,1,joy
i am feeling drained its probably related to addisons,0,sadness
i was left feeling a little disheartened,0,sadness
i feel myself uncertain as to the next step to take,4,fear
i feel satisfied if i finished doing my revision before exams,1,joy
i felt such guilt for being sad for having anger about anything and for feeling less than completely thrilled with my life,1,joy
i am also feeling his prompting to offer my comments about what exactly is going on in our very troubled world and what he has lead me to do regarding these times we are finding ourselves in,0,sadness
i want to understand how i can count all things joy when life feels anything but joyful,1,joy
i am going on day of my goddess workouts and am feeling fabulous,1,joy
i feel i am with ampatuan and joining the forces of hell bitchy human who only wants is to spread their worst odor in this world,3,anger
i breathe and walk i feel less joyful than most other people,1,joy
i never feel triumphant and glowy on my treadmill,1,joy
i feel so worthless and ugly a href http afaerytaleinmakebelieve,0,sadness
i hear myself soothing in a low soft voice and i marvel at how the voice makes me feel calm and strong also,1,joy
im feeling so lousy they tried to cheer me up during school time and during choir practice,0,sadness
i have been feeling restless lately,4,fear
i also feel like i was being way too irritable today,3,anger
i feel freakishly optimistic which really runs against my natural character,1,joy
i have survived the low part of the crash im starting to feel hopeful again,1,joy
i asked feeling outraged,3,anger
i feel so cool now like one of the cool kids in the neighborhood haha,1,joy
i still feel mentally in the game but a string of unfortunate events most i haven t written about had me sitting on the sidelines temporarily,0,sadness
i feel like im supporting even more,2,love
im already feeling stressed about salvaging the friendship as time goes by i realize theres also another point that isnt helping,3,anger
i am feeling soooo eco friendly,1,joy
i then feel like a hopeless case beside them,0,sadness
i feel them and im loving it,2,love
i want to be able to leave my house on my own without feeling terrified and im going to work on this every day,4,fear
im thinking that feeling extremely cold yesterday was more down to me brewing something than the actual weather,3,anger
im feeling brave today so here goes,1,joy
i couldn t feel the fake lashes at all,0,sadness
i try so hard to help them see the joy in life i always feel i can help these damaged and empty people and each time i fail i have to accept it as their failure not mine and i have a hard time doing that,0,sadness
i did feeling jolly accomplished currently,1,joy
im not going to lie i had started to feel over confident with the skinny fiber again as i had now dropped from a size x to a size x in clothing,1,joy
i am left to feel helpless to do anything,4,fear
i remember feeling absolutely devastated by what i saw,0,sadness
i was so irritated because i just knew i wasnt pregnant and i was wasting my time and feeling lousy for no reason,0,sadness
i feel horny and asked her to show her cam and she show me and asked her to show me her body and we do a great cyber sex that day,2,love
i feel so hopeless and strange and all i really want is to actually disappear,0,sadness
i just want them to hug and drink beer together and for neither of them to feel tortured at the same time,3,anger
im feeling generous id treat my friends for dinner or have a bbq at home in our little backyard while the weather is still nice and warm,1,joy
i didnt want to feel humiliated and was beginning to regret my decision to stay,0,sadness
i feel slightly more agitated,3,anger
i feel unwelcome in my own country,0,sadness
i wont get it for her i tried honestly i did and shes making me feel terrible she makes me feel like the bad guy,0,sadness
i feel content if not happy,1,joy
i am feeling the strange mix of extremely proud relieved she is on the path to her fabulous future but gutted she has chosen to move out to live in halls of residence at uni,4,fear
i feel funny about saying any of this because the book is selling millions of copies every week and it seems i m the minority in this,4,fear
i feel afraid to live alone living far from them,4,fear
