text,label,label_desc
i always feel pressured to make it perfect fit for for all audiences and gorgeous in creativity,4,fear
i feel helpless,4,fear
i really have nothing to talk about i m just feeling so damn antsy and needy and lonely,0,sadness
i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,0,sadness
im feeling as if im not caring and i dont want to fail my finals,2,love
i feel you are so delicate now,2,love
i know i probably shouldnt write with that sort of angry passion here on the blog but i never want to feel inhibited on what i can and cannot post,4,fear
i feel like i am the only one trying to accomplish everything especially the balance in our extremely distressed world,4,fear
i started to feel discouraged,0,sadness
i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,1,joy
i feel really free i feel that i can grow wings amp fly,1,joy
i start to feel happy and then i think of how lonely my cat feels,1,joy
i feel scared to use headphones,4,fear
i feel so useless in this,0,sadness
i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,3,anger
i feel rather petty that i just dont have time to have someone talented like christine make it,3,anger
i feel foolish and desperate almost for feeling so strongly about this,0,sadness
i feel more irritated than peaceful,3,anger
i feel troubled lord and i honestly don t know why,0,sadness
i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness,0,sadness
i do feel very successful right now,1,joy
i can only feel sorry for us that the relationship didnt work out,0,sadness
i want to express my feeling i dont know how to start it but seriously i feel so miserable right now love or friend,0,sadness
i feel distraught worried panicked sick scared sad,4,fear
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,0,sadness
i do feel very angered though,3,anger
i feel the need to lend my hand in the loyal promotion of greg weismans baby in hopes that disney will some day pick it back up or at the very least sell the rest of the series on dvd,2,love
i watch movies set in the s and s i feel pangs of melancholy,0,sadness
i feel like i am going to throw up or something i hated that site soooo much,0,sadness
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,1,joy
i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it,2,love
i feel and bruise my how was anybody to be punished,0,sadness
i woke up even more tired than the night before and feeling groggy,0,sadness
i feeling irritable,3,anger
i feel these kinds of emotional urges i try to identify their intellectual roots so i can understand them better,0,sadness
i should probably mention so that you aren t feeling left out that the lunch was in celebration of the top participants of the take the lead speech competition another reason to enter the competition the food was delicious and the conversation was amusing,1,joy
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,1,joy
i realized that it s those goddamn fat ass greedy son of a bitches that made me feel so humiliated so alone and so ugly,0,sadness
i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it,1,joy
i can tell most of the time what shes really feeling and she was being really sincere,1,joy
i feel like mike is loyal and will always be loyal,2,love
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,3,anger
i feel like im actually doing somewhat well with it and right now im getting my swing down,1,joy
i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given,0,sadness
i feel like i have to dumb myself down in order to communicate effectively,0,sadness
i still feel quite loyal in other views on the conservative side,2,love
i guess i am just feeling slightly shaken at this sudden news,4,fear
i still feel funny,4,fear
im tired of feeling troubled stressed up feeling down and falling sick,0,sadness
i felt a bit bad about killing but it always feels like a chore that simply distracted from exploration,3,anger
i wont be so sure to feel optimistic about this either,1,joy
i feel bad about being depressed because theres still a part of me that wants to believe that i can think my way out of this then i feel bad about wanting to starve so i do the opposite,0,sadness
i feel like im worthless,0,sadness
i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow,3,anger
i was left feeling a little delicate but thoughtful,2,love
i can feel myself agitated now so im going to have to leave work in a sec,3,anger
after receiving the grade on the paper mentioned in fear,0,sadness
i cant help but feel a little jubilant as i walk through the arrivals gate,1,joy
i thought it might and it makes my hair feel lovely and silky,2,love
i could elaborate how ww is a plan that gives you freedom and boundaries without feeling deprived and how finding your nitche in moving and sweating makes all the difference or the nuts of bolts of the day in and day out choices my story my struggle goes deep into the core,0,sadness
i imagine how would it feel to hold you nothing perverse just to know you to feel the heat of your breathe moving through me your feet tangled with mine,0,sadness
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,1,joy
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,1,joy
i was just yesterday feeling uncomfortable with highschool sigh,4,fear
i am already feeling heartbroken and alone again,0,sadness
i don t know what i want in my life at the moment and even though things are really good and stable in many ways i still don t feel content with it,1,joy
i feel like these were pretty productive days although i couldve cut back on the thinking as usual,1,joy
i feel angry man named muaz,3,anger
i love how i can feel totally distressed and hopeless but when i put on a bright eyes record or something all of a sudden i have this realization that there is more to life than the shit i worry about,4,fear
i was abruptly reminded of why i was feeling so agitated in la,4,fear
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,1,joy
i feel very peaceful about the whole situation,1,joy
i feel invigorated by the,1,joy
i went miles and it wasnt that i felt tired but i noticed that my bottom parts or the front of my pelvic bone was feeling numb and sore,0,sadness
im getting there but i really do feel dazed and confused at the moment,4,fear
i also like to share my happiness by spreading a smile at work sometimes i feel like the people i work for are a bit uptight so its nice to add some chatter to lighten the mood,4,fear
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,3,anger
i feel so resentful about having to take care of us and not getting to do what i want to do,3,anger
i feel every part of me agitated by the reality of the kingdom walk the talk,3,anger
i have gained lbs back and i feel terrible about it,0,sadness
i dont say anything because i dont want to cause a fuss and i hate it when people feel sorry for me,0,sadness
im feeling so excited and eager,1,joy
i feel really listless right now,0,sadness
i feel pathetic at times because,0,sadness
i feel very discontent right now,0,sadness
i learned what its truely like to feel and be submissive,0,sadness
i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend,0,sadness
i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me,4,fear
